Date	Price	Open	High	Low	Vol.	Close	Change %	
"Feb 14, 2020"	8.66	7.22	8.66	8.66	1.58M	8.659668	19.94%	
"Feb 13, 2020"	7.22	6.02	7.22	7.22	68.30K	6.93203	15.15%	
"Feb 12, 2020"	6.27	5.8	6.27	6.27	442.10K	6.16366	6.27%	
"Feb 11, 2020"	5.9	5.25	5.9	5.9	180.70K	6.073725	15.69%	
"Feb 10, 2020"	5.1	5.28	5.1	5.1	117.90K	4.896144	-7.27%	
"Feb 07, 2020"	5.5	4.67	5.5	5.5	121.40K	5.695065	21.95%	
"Feb 05, 2020"	4.51	4.5	4.51	4.51	534.60K	4.5099	0.22%	
"Feb 04, 2020"	4.5	4.5	4.5	4.5	112.30K	4.5504	1.12%	
"Feb 03, 2020"	4.45	5.06	4.45	4.45	176.90K	4.449764	-12.06%	
"Jan 31, 2020"	5.06	4.22	5.06	5.06	4.46M	4.744968	12.44%	
"Jan 30, 2020"	4.5	4	4.5	4.5	387.50K	4.2856	7.14%	
"Jan 29, 2020"	4.2	3.66	4.2	4.2	118.20K	4.165812	13.82%	
"Jan 28, 2020"	3.69	3.51	3.69	3.69	8.90K	3.54861	1.10%	
"Jan 27, 2020"	3.65	3.5	3.65	3.65	1.07M	3.65015	4.29%	
"Jan 24, 2020"	3.5	3.5	3.5	3.5	1.06M	3.5	0.00%	
"Jan 23, 2020"	3.5	3.5	3.5	3.5	80.20K	3.5	0.00%	
"Jan 22, 2020"	3.5	3.5	3.5	3.5	223.30K	3.5	0.00%	
"Jan 21, 2020"	3.5	3.49	3.5	3.5	781.30K	3.500121	0.29%	
"Jan 20, 2020"	3.49	3.49	3.49	3.49	65.30K	3.49	0.00%	
"Jan 17, 2020"	3.49	3.5	3.49	3.49	1.20M	3.48985	-0.29%	
"Jan 16, 2020"	3.5	3.5	3.5	3.5	1.80M	3.5	0.00%	
"Jan 15, 2020"	3.5	3.5	3.5	3.5	1.10M	3.4902	-0.28%	
"Jan 14, 2020"	3.51	3.48	3.51	3.51	1.97M	3.509928	0.86%	
"Jan 13, 2020"	3.48	3.45	3.48	3.48	167.10K	3.47001	0.58%	
"Jan 10, 2020"	3.46	3.45	3.46	3.46	392.10K	3.460005	0.29%	
"Jan 09, 2020"	3.45	3.46	3.45	3.45	50.20K	3.46	0.00%	
"Jan 08, 2020"	3.45	3.46	3.45	3.45	58.30K	3.449966	-0.29%	
"Jan 07, 2020"	3.46	3.46	3.46	3.46	449.90K	3.470034	0.29%	
"Jan 06, 2020"	3.45	3.46	3.45	3.45	380.00K	3.449966	-0.29%	
"Jan 03, 2020"	3.46	3.41	3.46	3.46	121.60K	3.460127	1.47%	
"Jan 02, 2020"	3.41	3.4	3.41	3.41	154.50K	3.40986	0.29%	
